epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,84.8008,0.68599,4.10074,0.02447,0.00333,1,0.995,0.85025,0.3823,7.219,0.01751,0.000493898,0.000493898,0.000493898
45,86.7358,0.66728,4.17029,0.02245,0.00333,1,0.995,0.94525,0.33976,7.09706,0.01585,0.000496672,0.000496672,0.000496672
46,87.86,0.63863,4.02388,0.02151,0.00333,1,0.995,0.94525,0.33976,7.09706,0.01585,0.00049905,0.00049905,0.00049905
47,89.2535,0.56173,3.20706,0.01474,0.00333,1,0.995,0.90375,0.38631,7.10146,0.01799,0.000501032,0.000501032,0.000501032
48,90.562,1.00579,7.13999,0.04733,0.00333,1,0.995,0.90375,0.38631,7.10146,0.01799,0.000502618,0.000502618,0.000502618
49,91.589,0.40848,3.05686,0.0113,0.00333,1,0.995,0.94525,0.36665,7.054,0.0169,0.000503808,0.000503808,0.000503808
50,92.4922,0.75421,4.29951,0.02939,0.00333,1,0.995,0.94525,0.36665,7.054,0.0169,0.000504602,0.000504602,0.000504602
51,93.4698,0.34417,3.03685,0.00935,0.00333,1,0.995,0.92037,0.30985,7.04355,0.01444,0.000505,0.000505,0.000505
52,94.4157,0.4738,2.84973,0.01226,0.00333,1,0.995,0.92037,0.30985,7.04355,0.01444,0.000505002,0.000505002,0.000505002
53,95.3325,0.57942,3.72812,0.01847,0.00333,1,0.995,0.92037,0.30985,7.04355,0.01444,0.000504608,0.000504608,0.000504608
54,96.3084,0.30837,2.57205,0.00679,0.00333,1,0.995,0.92037,0.24677,6.90682,0.01138,0.000503818,0.000503818,0.000503818
55,97.3981,0.49464,3.04511,0.01422,0.00333,1,0.995,0.92037,0.24677,6.90682,0.01138,0.000502632,0.000502632,0.000502632
56,98.2886,0.5271,3.5996,0.01584,0.00333,1,0.995,0.92037,0.24677,6.90682,0.01138,0.00050105,0.00050105,0.00050105
57,99.2333,0.2681,2.97757,0.0083,0.00333,1,0.995,0.945,0.37944,6.68823,0.01754,0.000499072,0.000499072,0.000499072
